St,County,Design Wind Speed (mph),Wind Quality Class
CA,Riverside,19,2
TX,Pecos,16.5,1
OR,Umatilla,19,2
MN,Pipestone,19,2
NY,Madison,22,1
ID,Bonneville,15.8,2
CO,Logan,19.5,2
MT,Wheatland,19,2
TN,Anderson,17,2
TX,Scurry,18.6,2
TX,Martin,17.4,2
TX,Dickens,19.5,2
TX,Nolan,17.4,2
IL,LaSalle,18.3,2
IL,LaSalle,17.2,2
WI,Dodge,17,2
OR,Morrow,15.2,2
NY,Wyoming,15,3
WV,Greenbrier,17,2
WA,Kittitas,17.4,2
IL,Henry,16.1,3
IL,Vermilion,18.1,3
TX,Mills,16.8,3
NE,Antelope,19,2
MI,Gratiot,14.5,3
TX,Roberts,19.1,2
NY,Steuben,16.7,3
CO,Logan,20.4,2
CO,Logan,18.6,2
TX,Hansford,20,1
MN,Lincoln,22.4,1
TX,Taylor,19,2
CA,Alameda,16.6,1
OK,Custer,19,2
TX,Taylor,30,1
IL,Lee,19,2
TX,Nolan,19,2
NM,Quay,18.5,2
NM,Quay,14,2
CA,San Diego,19,2
IL,Bureau,21,2
PA,Luzerne,19,2
NJ,Atlantic,19,2
NM,Guadalupe,17.3,2
TX,Nolan,16.5,2
CO,Weld,16.6,2
CA,Contra Costa,13.6,2
PA,Cambria,19,2
NY,Lewis,19,2
OK,Comanche,16.1,2
IL,McLean,19,2
ND,Burleigh,19,2
MN,Lincoln,24,2
MN,Clay,24,2
TX,Shackelford,33,2
TX,Shackelford,15,2
IL,BUREAU,15.9,2
MN,Pipestone,18.6,1
MN,PIPESTONE,17.4,1
MN,PIPESTONE,18.1,1
MN,Pipestone,17.6,1
MN,Pipestone,18.4,1
ND,Oliver,19,2
MI,Huron,15.7,2
MN,Mower,19,2
ID,Gooding,22,3
TX,Borden,19,2
MN,Mower,16.4,2
TX,Nolan,20,2
PA,Lancaster,12,2
MO,Atchison,17,2
MO,Nodaway,16,2
MO,Atchison,13.2,2
MO,Gentry,16,2
CA,Riverside,10,1
CO,Logan,19,2
ND,Cavalier,19,2
MN,Pipestone,16.8,2
TX,Sherman,20,2
TX,Hansford,19.1,2
TX,Scurry,24,2
NY,Clinton,19,2
NY,Wyoming,19,2
NY,Franklin,19,2
TX,Hansford,19,2
MI,Huron,15.6,2
OR,UNION,17,2
KS,Lincoln,24,2
ID,Elmore,14.7,2
IA,Osceola,19,2
WA,Klickitat,17.6,2
OK,Roger Mills,24.6,2
ND,Dickey,18.8,2
ND,McHenry,22.4,2
OK,Roger Mills,19,2
IL,Stephenson,23.5,3
TX,Floyd,20.5,1
CA,Kern,17.6,1
IL,STARK,0,2
IN,Benton,17.6,2
TX,Erath,19,2
IN,Benton,19,2
TX,Pecos,19,2
KS,Barber,19,2
SD,Hand,22.4,1
CO,Weld,19,2
ID,Bonneville,19,2
TX,Young,19,2
PA,Wyoming,19,2
KS,Harper,16.8,3
TX,Howard,28,1
KS,Cloud,18.3,2
KS,Cloud,17.6,2
IA,Mitchell,15.8,2
ME,Franklin,22.4,1
TX,Shackelford,19.6,1
TX,Moore,18.1,2
TX,Carson,19.7,2
WA,Kittitas,17,2
IL,Tazewell,19,2
IA,Story,19,2
ND,Barnes,19,2
IA,Hancock,19,2
CO,Huerfano,22,2
ID,Twin Falls,15.4,2
OR,Morrow,15.1,2
TX,Glasscock,18.6,2
TX,Nolan,18.6,2
TX,Nolan,18.3,2
NY,Madison,15.9,2
TX,Howard,18.8,2
TX,Glasscock,18.1,2
TX,Sterling,18.1,2
PA,Somerset,17.4,2
TX,Fisher,18.8,2
TX,San Patricio,17.4,2
TX,Nolan,18.1,2
TX,San Patricio,16.8,2
IL,Iroquois,16.6,2
IL,Iroquois,17.4,2
TX,Willacy,16.6,3
IN,Tipton,16.1,3
TX,Kinney,17,3
TX,Carson,20.3,1
KS,Kiowa,18.9,2
WY,Laramie,8,2
TX,Ector,6.5,2
TX,Howard,7.5,2
PA,Tioga,22.3,1
MT,Toole,17,2
WY,Laramie,12,2
WY,Converse,10,2
PA,Blair,8,2
WY,Natrona,31,2
UT,Beaver,19,2
NM,QUAY,15,3
ND,Steele,16.8,3
ND,Burleigh,16.8,3
OK,Caddo,17.7,2
IN,White,19,2
IL,Livingston,19,2
IA,Dickinson,19,2
IN,White,17,3
MI,Missaukee,15.2,2
ME,Waldo,19,2
ID,Gooding,15.4,2
WY,Carbon,15,2
IA,Pocahontas,20,2
WI,Dodge,16.8,3
TX,Tom Green,18.2,2
WA,Klickitat,15,4
DE,SUSSEX,15.5,2
CO,Logan,18.7,2
CA,SHASTA,19,2
TX,Kenedy,19,2
NV,WHITE PINE,16.7,3
CA,Imperial,19,2
TX,Carson,19,2
MO,DeKalb,15.6,2
CA,Solano,19,2
SD,Day,16.8,3
